% Model:              simplified_itm_cp_with_cage_with_deformation.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 22 2024, 18:08
% Dimension:          2
% Nodes:              453
% Expressions:        1
% Description:        
% Length unit:        m
% mir2x                   mir2y                    8.6e-6[1/K]*(linproj_cp(T-293.15[K])-intop_cp(linproj_cp(T-293.15[K]))) (m)
0.011239941722625352      -0.1582385475656911      -1.3917239095018E-8
-3.122849337825751E-17    -0.17                    -2.2730202788805865E-8
0.016662894671738305      -0.1691811674219653      -2.201262629846259E-8
0.02291052139484348       -0.1559984122653345      -1.198865718904798E-8
0.033165319991782606      -0.16673335008305726     -2.000649846235732E-8
0.04934838294363508       -0.1626798069245909      -1.6410211770129013E-8
0.0368201554829958        -0.1515270811556387      -7.988764381900936E-9
0.06505608035975788       -0.15705927151936142     -1.1077159757034039E-8
0.052098836649734165      -0.14571956548134415     -2.4967397524641166E-9
0.08013741841846156       -0.14992657085853145     -4.1765704027498465E-9
0.0642820902704562        -0.14066762928660995     2.491761954620986E-9
0.09444685982726914       -0.14134970516009163     3.90602134807121E-9
0.07915667817976998       -0.134637407807131       8.583798836143587E-9
0.10784670491654494       -0.13141159654971166     1.2316153584995804E-8
0.09122468716466162       -0.12518104343013        1.7088500692980237E-8
0.12020815280171306       -0.12020815280171313     1.9549708898077812E-8
0.10329555974182772       -0.11568322231806033     2.4287945462568307E-8
0.13141159654971166       -0.10784670491654488     2.4640606772939934E-8
0.11211673863811014       -0.1054533826285454      3.035547409311911E-8
0.14134970516009163       -0.0944468598272691      2.8530646551698448E-8
0.12360461181454716       -0.0935338719339924      3.504338996743047E-8
0.14992657085853142       -0.08013741841846155     3.22236748896285E-8
0.13016298348780644       -0.08171621760905275     3.9388400835423775E-8
0.15705927151936142       -0.06505608035975788     3.599147553489197E-8
0.13925413167946835       -0.067577308841192       4.301475141920006E-8
0.16267980692459091       -0.04934838294363508     3.931398625854002E-8
0.14321993146607734       -0.055015354037386166    4.6919732095693706E-8
0.16673335008305723       -0.03316531999178263     4.1756552686198395E-8
0.14979020499781062       -0.0394321710457346      4.946164597934439E-8
0.1691811674219653        -0.0166628946717383      4.378218104226729E-8
0.15100203819453037       -0.02615744870214326     5.249815962166032E-8
0.17                      0                        4.6590405626260337E-8
0.15449171368058537       -0.009122074352621995    5.431322908289507E-8
0.1691811674219653        0.016662894671738333     5.0752539817007694E-8
0.15306673444573507       0.004028188244528136     5.8194761453976056E-8
0.16673335008305723       0.033165319991782634     5.5452332125229393E-8
0.15316418609866547       0.02106136048348692      6.20060753768092E-8
0.16267980692459091       0.049348382943635125     6.02060450922978E-8
0.14940875011178137       0.03382988617812513      6.683220327149995E-8
0.15705927151936136       0.06505608035975789      6.41613557883229E-8
0.14613620740284602       0.05063045580248052      7.07892177072436E-8
0.1499265708585314        0.08013741841846155      6.732344755047691E-8
0.1398877500895431        0.06235745061251505      7.455906090535576E-8
0.14134970516009163       0.09444685982726915      7.011395746565527E-8
0.13317144139732204       0.07762243310014552      7.726228352383149E-8
0.13141159654971166       0.10784670491654494      7.225372075700439E-8
0.12457937780704417       0.08830967131593245      8.009204324915651E-8
0.011173745763379928      0.15820627743349294      7.254415597794621E-8
0.016662894671738284      0.16918116742196532      6.584614756323714E-8
1.0409497792752504E-17    0.17                     6.568997134437795E-8
0.12020815280171307       0.12020815280171311      7.373485581405868E-8
0.11513009934086879       0.10262559722470296      8.14241501527845E-8
0.02301837881108279       0.15582819634459802      7.347071852780337E-8
0.03316531999178261       0.16673335008305726      6.620638431391156E-8
0.10784670491654486       0.13141159654971168      7.387100571895182E-8
0.1046643519505738        0.11069616646339134      8.296721586661606E-8
0.03735050036460816       0.1502805853932682       7.577832628834814E-8
0.049348382943635055      0.1626798069245909       6.717529998827347E-8
0.09444685982726908       0.14134970516009168      7.241366856232409E-8
0.0930683143095141        0.12265902863135755      8.194690083223852E-8
0.06505608035975784       0.15705927151936144      6.8674999861073E-8
0.052423210065012604      0.14385657996314252      7.799583395173825E-8
0.08013741841846152       0.14992657085853148      7.051790858538145E-8
0.06739353745412441       0.1388079117191112       7.892618627673134E-8
0.08089318744684351       0.12950957959666973      8.144265619629513E-8
0                         -0.153                   -9.46402258299749E-9
0.01289288157643928       -0.14510490525617206     -3.32812732709642E-9
0                         -0.136                   1.7819567818829652E-9
0.025291138033571414      -0.13943207865244958     8.251326202872944E-10
0.04004228170333965       -0.1384675943714741      2.459309336933602E-9
0.014249936818647418      -0.12843711272033842     5.081700311364835E-9
0                         -0.11900000000000004     6.412433752401925E-9
0.06795101041220392       -0.12742130718950642     1.3094309526767367E-8
0.05183156969283004       -0.1279098050896499      1.022789103857582E-8
0.032751273449223406      -0.12141976404040099     9.2053655487924E-9
0.016054392457931027      -0.11101495363587136     7.724524933576461E-9
0                         -0.10200000000000001     6.0572692701392546E-9
0.0774901685170859        -0.11953844458572958     1.9531932581544566E-8
0.08919063544752617       -0.11329174243720988     2.503282670025572E-8
0.06310114050778873       -0.11387846384303589     1.864695935219796E-8
0.0471304815711206        -0.10979164610519664     1.4738108574698928E-8
0.03133957485225658       -0.10222768321665442     1.0374676923040363E-8
0.015776924891873212      -0.09372930901769105     6.01120661233916E-9
0                         -0.08500000000000005     2.9671425896099842E-9
0.09536795989691474       -0.10141125971225186     3.1793698257942096E-8
0.10870563297807187       -0.09313257204400441     3.6840323055470525E-8
0.07865988751528621       -0.10288262399324394     2.680034729285022E-8
0.08441354872589271       -0.09166938952154653     3.135123055388213E-8
0.06045118656425999       -0.09965464281435955     2.0473059712944855E-8
0.014947598469319395      -0.0765                  2.319244842372182E-9
0                         -0.06800000000000003     -9.085584145573589E-10
0.04570803702111101       -0.09252634864790867     1.442807734073165E-8
0.02989519693863882       -0.08500000000000003     7.727777473665143E-9
0.11274553500494691       -0.0808582225209289      4.1669331959336E-8
0.12443631306292299       -0.07008676880708242     4.551492616943269E-8
0.09580197978309665       -0.08416699632365075     3.6957993976391224E-8
0.07266823035549572       -0.08904574972842898     2.6515559563611504E-8
0.08227299227614684       -0.08227023716780843     3.1524219122487984E-8
0.06011055647970939       -0.08273970917530676     2.022454570822102E-8
0.014947598469319395      -0.05950000000000001     -1.2384201830224041E-9
0                         -0.051000000000000024    -4.0586348516366335E-9
0.02989519693863882       -0.06800000000000002     4.428870975205213E-9
0.04529759367756811       -0.07525076893504849     1.204800353063743E-8
0.09996152877547396       -0.07189967663304621     4.05278206479178E-8
0.1101230583678107        -0.06394244454574946     4.5398848179014504E-8
0.1258920412035406        -0.057477748941096904    4.955711346406987E-8
0.1353955343705708        -0.04505621641424298     5.2565473174318775E-8
0.08691782639488646       -0.07257487215672398     3.440345180294113E-8
0.07397088064065371       -0.07527998272339727     2.7314556307296E-8
0.06060387646487611       -0.0663292160283628      1.8963675530771143E-8
0.014947598469319395      -0.04250000000000001     -3.5151181349872166E-9
0                         -0.034                   -5.382752277135107E-9
0.02989519693863882       -0.05099999999999999     1.6568400783956828E-9
0.04513786148501017       -0.05854194007499214     9.445973627590279E-9
