% Model:              simplified_itm_cp_with_cage_with_deformation.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 22 2024, 18:09
% Dimension:          2
% Nodes:              437
% Expressions:        1
% Description:        
% Length unit:        m
% mir3x                   mir3y                    w-intop_itm(w) (m)
0.011286154186172154      -0.15823959430707288     1.3277200761115525E-7
-3.1228493378257505E-17   -0.17                    1.5158354613771772E-7
0.016768315385731897      -0.16916925349552792     1.5180735092819104E-7
0.02302921944622341       -0.1559620306964965      1.3149528898847068E-7
0.03337337977308848       -0.16669099439240523     1.5247385003489763E-7
0.0496527967478169        -0.16258666163260405     1.5357804919711017E-7
0.03608905586401567       -0.15201521480745198     1.2985367256562655E-7
0.06544746933402171       -0.15689480910308415     1.55132133090108E-7
0.052418064871675746      -0.14601896631416744     1.29333680059215E-7
0.08060498995642124       -0.14967559230510805     1.571335418273353E-7
0.06457523297179427       -0.14038249068490308     1.296140154496859E-7
0.09497491016792778       -0.14099393957262737     1.5950434683844963E-7
0.10841926174237179       -0.13093810843621778     1.6198187181357748E-7
0.0901951621171688        -0.12504899012590207     1.3268092234664998E-7
0.08011657366796451       -0.1326154228290133      1.3233480850293888E-7
0.12080689376254397       -0.11960619447672895     1.6397284752478629E-7
0.10341265180268358       -0.11520369434286226     1.357733942975622E-7
0.1320141666558402        -0.10710561221469668     1.652412157254256E-7
0.11287482053723877       -0.10501546654420812     1.3606946340294293E-7
0.14193629395231544       -0.09356233870952992     1.663188911384751E-7
0.12379852346513046       -0.09269790106016085     1.382437706395323E-7
0.15047251412100857       -0.07910557871042051     1.67694602332471E-7
0.1306400766556897        -0.08016904166707223     1.369896055321187E-7
0.15754089748258565       -0.0638770565186828      1.694614060410147E-7
0.140001894948902         -0.06598622995407892     1.4113266497509006E-7
0.1479491031287347        -0.05387992526891089     1.473242815897354E-7
0.163075                  -0.04802649659302668     1.7131348087792187E-7
0.163075                  0.04802649659302668      1.8309789590730586E-7
0.15754089748258562       0.06387705651868288      1.8398800252943855E-7
0.14338489167317667       0.04916958955388506      1.4830202979687134E-7
0.15047251412100854       0.0791055787104206       1.8468241059785826E-7
0.1392862309489135        0.06477159868218998      1.5296114238084693E-7
0.14193629395231536       0.09356233870952999      1.8543590607635716E-7
0.13438552542127          0.07820793792351685      1.5712436522073223E-7
0.13201416665584018       0.10710561221469678      1.8628924476341655E-7
0.1262560620187753        0.08992138684187637      1.5690083733102834E-7
0.011233030833202567      0.1582309708102735       1.670902661463554E-7
0.016768315385731897      0.16916925349552792      1.8943880176169046E-7
1.0409497792752502E-17    0.17                     1.8950160823537696E-7
0.12080689376254392       0.11960619447672896      1.8721101553091625E-7
0.11684175840519737       0.10145296922793681      1.571338241283407E-7
0.023140684549162988      0.15578417574017553      1.6482716424246242E-7
0.03337337977308846       0.1666909943924052       1.8926966212207774E-7
0.10841926174237178       0.13093810843621786      1.8800780352024838E-7
0.10543052128545541       0.11086624283117022      1.5454512480902863E-7
0.03732919110302388       0.14996885148456898      1.5906117559277393E-7
