9.384e-3, 0.5204
9.3763e-3, 0.5213
9.3687e-3, 0.5224
9.361e-3, 0.5232
0.0189, 0.5243
0.0189, 0.5252
0.0189, 0.5262
0.0189, 0.5272
0.0189, 0.5281
0.0189, 0.5291
0.0189, 0.53
0.0188, 0.531
0.0188, 0.532
0.0188, 0.5329
0.0188, 0.5339
0.0188, 0.5349
0.0188, 0.5358
0.0188, 0.5368
0.0188, 0.5377
0.0188, 0.5387
0.0188, 0.5396
0.0188, 0.5406
0.0188, 0.5415
0.0188, 0.5425
0.0187, 0.5434
0.0187, 0.5445
0.0187, 0.5453
0.0187, 0.5464
0.0187, 0.5474
0.0187, 0.5483
0.0187, 0.5493
0.0187, 0.5502
0.0187, 0.5512
0.0187, 0.5522
0.0187, 0.5531
0.0187, 0.5541
0.0187, 0.555
0.0186, 0.556
0.0186, 0.557
0.0186, 0.5579
0.0186, 0.5589
0.0186, 0.5598
0.0282, 0.5608
0.0281, 0.5617
0.0281, 0.5627
0.0281, 0.5636
0.0281, 0.5647
0.0281, 0.5655
0.0281, 0.5666
0.0281, 0.5675
0.0281, 0.5685
0.0281, 0.5695
0.0281, 0.5704
0.0281, 0.5714
0.0281, 0.5724
0.0281, 0.5733
0.028, 0.5743
0.028, 0.5752
0.028, 0.5762
0.028, 0.5772
0.028, 0.5781
0.028, 0.5791
0.028, 0.58
0.028, 0.581
0.028, 0.5819
0.028, 0.5829
0.028, 0.5838
0.028, 0.5849
0.028, 0.5857
0.0279, 0.5868
0.0279, 0.5877
0.0279, 0.5887
0.0279, 0.5897
0.0279, 0.5906
0.0279, 0.5916
0.0279, 0.5925
0.0279, 0.5935
0.0279, 0.5945
0.0279, 0.5954
0.0279, 0.5964
0.0279, 0.5974
0.0279, 0.5983
0.0278, 0.5993
0.0278, 0.6002
0.0278, 0.6012
0.0278, 0.6021
0.0278, 0.6031
0.0278, 0.604
0.0278, 0.605
0.0278, 0.6059
0.0278, 0.607
0.0278, 0.6078
0.0278, 0.6089
0.0278, 0.6099
0.0278, 0.6108
0.0373, 0.6118
0.0373, 0.6127
0.0373, 0.6137
0.0373, 0.6147
0.0373, 0.6156
0.0373, 0.6166
0.0373, 0.6175
0.0372, 0.6185
0.0372, 0.6195
0.0372, 0.6204
0.0372, 0.6214
0.0372, 0.6223
0.0372, 0.6233
0.0372, 0.6242
0.0372, 0.6252
0.0372, 0.6261
0.0372, 0.6272
0.0372, 0.628
0.0372, 0.6291
0.0372, 0.63
0.0371, 0.631
0.0371, 0.632
0.0371, 0.6329
0.0371, 0.6339
0.0371, 0.6349
0.0371, 0.6358
0.0371, 0.6368
0.0371, 0.6377
0.0371, 0.6387
0.0371, 0.6397
0.0371, 0.6406
0.0371, 0.6416
0.0371, 0.6425
0.037, 0.6435
0.037, 0.6444
0.037, 0.6454
0.037, 0.6463
0.037, 0.6474
0.037, 0.6482
0.037, 0.6493
0.037, 0.6502
0.037, 0.6512
0.037, 0.6522
0.0465, 0.6531
0.0465, 0.6541
0.0465, 0.655
0.0465, 0.656
0.0465, 0.657
0.0465, 0.6579
0.0465, 0.6589
0.0465, 0.6599
0.0465, 0.6608
0.0464, 0.6618
0.0464, 0.6627
0.0464, 0.6637
0.0464, 0.6646
0.0464, 0.6656
0.0464, 0.6665
0.0464, 0.6675
0.0464, 0.6684
0.0464, 0.6695
0.0464, 0.6703
0.0464, 0.6714
0.0464, 0.6724
0.0464, 0.6733
0.0463, 0.6743
